time,xposition,yposition
18.549,458.0,212.0
18.589,461.0,206.0
18.631,466.0,200.0
18.668,472.0,194.0
18.71,475.0,188.0
18.75,475.0,182.0
18.79,472.0,172.0
18.832,469.0,164.0
18.87,462.0,152.0
18.91,452.0,142.0
18.95,445.0,131.0
18.99,440.0,122.0
19.029,433.0,116.0
19.068,420.0,110.0
19.11,408.0,106.0
19.15,399.0,104.0
19.19,389.0,103.0
19.231,382.0,104.0
19.269,378.0,104.0
19.311,376.0,104.0
19.351,375.0,103.0
19.39,376.0,103.0
19.431,376.0,103.0
19.471,376.0,103.0
19.51,376.0,103.0
19.55,376.0,103.0
19.588,376.0,103.0
19.63,376.0,103.0
19.671,372.0,102.0
19.711,363.0,102.0
19.75,341.0,105.0
19.792,326.0,108.0
19.832,314.0,112.0
19.869,305.0,122.0
19.911,303.0,129.0
19.952,302.0,134.0
19.992,302.0,139.0
20.034,303.0,145.0
20.071,303.0,149.0
20.111,302.0,149.0
20.15,301.0,148.0
20.191,301.0,148.0
20.231,302.0,149.0
20.272,302.0,149.0
20.311,302.0,149.0
20.351,301.0,150.0
20.392,302.0,158.0
20.431,300.0,173.0
20.471,295.0,187.0
20.507,292.0,201.0
20.55,291.0,212.0
20.59,294.0,221.0
20.629,297.0,227.0
20.669,302.0,231.0
20.709,311.0,235.0
20.751,323.0,238.0
20.791,331.0,241.0
20.831,336.0,242.0
20.87,343.0,240.0
20.91,348.0,236.0
20.949,353.0,232.0
20.991,357.0,231.0
21.029,359.0,229.0
21.069,362.0,228.0
21.11,363.0,227.0
21.149,363.0,227.0
21.189,366.0,225.0
21.232,369.0,224.0
21.271,371.0,224.0
21.31,373.0,224.0
21.351,377.0,225.0
21.391,386.0,223.0
21.43,396.0,219.0
21.473,403.0,213.0
21.51,410.0,207.0
21.552,413.0,202.0
21.594,416.0,196.0
21.633,418.0,194.0
21.671,418.0,190.0
21.711,418.0,190.0
21.752,418.0,189.0
21.79,417.0,190.0
21.832,417.0,189.0
21.871,417.0,190.0
21.912,417.0,190.0
21.951,418.0,190.0
21.992,417.0,190.0
22.034,418.0,189.0
22.071,418.0,188.0
22.113,421.0,175.0
22.149,424.0,159.0
22.198,425.0,145.0
22.231,427.0,137.0
22.27,424.0,128.0
22.312,421.0,118.0
22.352,414.0,112.0
22.391,403.0,108.0
22.432,391.0,105.0
22.473,385.0,104.0
22.511,382.0,104.0
22.553,380.0,103.0
22.592,380.0,104.0
22.636,381.0,105.0
22.673,382.0,105.0
22.712,382.0,105.0
22.752,382.0,105.0
22.793,382.0,105.0
22.832,380.0,104.0
22.872,370.0,103.0
22.913,360.0,100.0
22.953,351.0,94.0
22.993,345.0,86.0
23.033,336.0,70.0
23.073,329.0,58.0
23.113,320.0,42.0
23.154,311.0,38.0
23.194,304.0,37.0
23.233,297.0,38.0
23.273,289.0,39.0
23.313,277.0,39.0
23.353,266.0,41.0
