time,xposition,yposition,framenumber
13.562,193.0,224.0,298.0
13.601,190.0,224.0,299.0
13.641,186.0,224.0,300.0
13.683,181.0,224.0,301.0
13.724,176.0,225.0,302.0
13.762,171.0,225.0,303.0
13.802,165.0,225.0,304.0
13.841,157.0,225.0,305.0
13.883,151.0,225.0,306.0
13.924,143.0,225.0,307.0
13.961,135.0,226.0,308.0
14.002,129.0,226.0,309.0
14.042,121.0,226.0,310.0
14.083,116.0,227.0,311.0
14.125,112.0,230.0,312.0
14.163,109.0,231.0,313.0
14.203,106.0,233.0,314.0
14.242,101.0,236.0,315.0
14.282,97.0,241.0,316.0
14.323,93.0,248.0,317.0
14.363,89.0,254.0,318.0
14.403,85.0,260.0,319.0
14.443,82.0,268.0,320.0
14.482,80.0,277.0,321.0
14.525,78.0,286.0,322.0
14.563,76.0,294.0,323.0
14.602,75.0,302.0,324.0
14.644,75.0,310.0,325.0
14.683,75.0,317.0,326.0
14.723,75.0,323.0,327.0
14.764,75.0,330.0,328.0
14.803,76.0,336.0,329.0
14.844,78.0,344.0,330.0
14.884,79.0,351.0,331.0
14.924,78.0,359.0,332.0
14.963,80.0,365.0,333.0
15.003,81.0,371.0,334.0
15.043,81.0,377.0,335.0
15.085,81.0,380.0,336.0
15.124,80.0,382.0,337.0
15.164,80.0,386.0,338.0
15.203,79.0,392.0,339.0
15.243,79.0,397.0,340.0
15.283,75.0,402.0,341.0
15.323,74.0,407.0,342.0
15.37,76.0,413.0,343.0
15.405,78.0,433.0,344.0
15.445,79.0,441.0,345.0
15.486,77.0,444.0,346.0
15.526,75.0,448.0,347.0
15.564,75.0,449.0,348.0
15.603,74.0,451.0,349.0
15.643,74.0,453.0,350.0
15.685,74.0,455.0,351.0
15.724,74.0,456.0,352.0
15.764,74.0,456.0,353.0
15.804,76.0,456.0,354.0
15.843,78.0,456.0,355.0
15.883,82.0,455.0,356.0
15.925,88.0,457.0,357.0
15.973,94.0,461.0,358.0
16.006,100.0,465.0,359.0
16.046,105.0,468.0,360.0
16.085,109.0,472.0,361.0
16.123,112.0,474.0,362.0
16.163,115.0,475.0,363.0
16.203,118.0,475.0,364.0
16.243,120.0,476.0,365.0
16.284,125.0,475.0,366.0
16.322,132.0,473.0,367.0
16.364,137.0,472.0,368.0
16.404,142.0,471.0,369.0
16.444,147.0,469.0,370.0
16.482,153.0,464.0,371.0
16.523,158.0,460.0,372.0
16.562,162.0,458.0,373.0
16.604,167.0,453.0,374.0
16.644,172.0,448.0,375.0
16.684,175.0,443.0,376.0
16.724,177.0,440.0,377.0
16.764,180.0,437.0,378.0
16.804,181.0,437.0,379.0
16.844,182.0,437.0,380.0
16.884,185.0,436.0,381.0
16.925,189.0,435.0,382.0
16.964,194.0,433.0,383.0
17.006,198.0,432.0,384.0
17.044,201.0,430.0,385.0
17.084,204.0,429.0,386.0
17.125,207.0,427.0,387.0
17.164,209.0,424.0,388.0
17.204,211.0,421.0,389.0
17.244,211.0,419.0,390.0
17.284,212.0,418.0,391.0
17.325,212.0,418.0,392.0
17.364,212.0,416.0,393.0
17.402,212.0,414.0,394.0
17.443,212.0,411.0,395.0
17.485,211.0,408.0,396.0
17.525,209.0,405.0,397.0
17.564,208.0,405.0,398.0
17.605,209.0,405.0,399.0
17.642,210.0,407.0,400.0
17.685,211.0,408.0,401.0
17.725,211.0,409.0,402.0
17.762,211.0,410.0,403.0
17.804,211.0,410.0,404.0
17.844,210.0,409.0,405.0
17.884,209.0,408.0,406.0
17.924,209.0,407.0,407.0
17.965,209.0,404.0,408.0
18.005,210.0,399.0,409.0
18.044,212.0,391.0,410.0
18.084,214.0,385.0,411.0
18.126,216.0,380.0,412.0
18.165,216.0,374.0,413.0
18.202,215.0,369.0,414.0
18.244,215.0,366.0,415.0
18.285,215.0,363.0,416.0
18.325,214.0,361.0,417.0
18.364,213.0,358.0,418.0
18.404,212.0,356.0,419.0
18.446,210.0,351.0,420.0
18.485,209.0,346.0,421.0
18.525,208.0,340.0,422.0
18.563,204.0,335.0,423.0
18.605,200.0,331.0,424.0
18.646,194.0,327.0,425.0
18.686,191.0,326.0,426.0
18.726,187.0,324.0,427.0
18.766,184.0,323.0,428.0
18.805,180.0,323.0,429.0
18.845,175.0,322.0,430.0
18.883,168.0,321.0,431.0
18.927,164.0,320.0,432.0
18.963,161.0,319.0,433.0
19.006,157.0,318.0,434.0
19.046,154.0,316.0,435.0
19.083,150.0,315.0,436.0
19.123,146.0,313.0,437.0
19.165,141.0,309.0,438.0
19.205,137.0,304.0,439.0
19.246,134.0,300.0,440.0
19.283,131.0,296.0,441.0
19.325,129.0,292.0,442.0
19.366,128.0,286.0,443.0
19.407,127.0,279.0,444.0
19.445,125.0,274.0,445.0
19.485,124.0,268.0,446.0
19.525,124.0,262.0,447.0
19.563,126.0,256.0,448.0
19.606,127.0,249.0,449.0
19.645,128.0,244.0,450.0
19.687,129.0,239.0,451.0
19.726,130.0,235.0,452.0
19.765,130.0,233.0,453.0
19.806,132.0,233.0,454.0
19.845,133.0,234.0,455.0
19.886,134.0,234.0,456.0
19.925,133.0,234.0,457.0
19.965,134.0,234.0,458.0
20.005,135.0,234.0,459.0
20.045,136.0,233.0,460.0
20.086,137.0,233.0,461.0
20.126,137.0,232.0,462.0
20.165,137.0,231.0,463.0
20.206,138.0,231.0,464.0
20.244,138.0,231.0,465.0
20.287,138.0,231.0,466.0
20.326,138.0,231.0,467.0
20.367,138.0,231.0,468.0
20.407,138.0,231.0,469.0
20.447,138.0,230.0,470.0
20.486,139.0,231.0,471.0
20.527,139.0,231.0,472.0
20.566,141.0,231.0,473.0
20.606,146.0,230.0,474.0
20.645,153.0,229.0,475.0
20.685,158.0,229.0,476.0
20.726,164.0,228.0,477.0
20.766,173.0,227.0,478.0
20.807,181.0,226.0,479.0
20.849,188.0,223.0,480.0
20.886,192.0,220.0,481.0
20.924,197.0,216.0,482.0
20.966,200.0,211.0,483.0
21.007,202.0,207.0,484.0
21.047,203.0,204.0,485.0
21.088,204.0,201.0,486.0
21.128,204.0,197.0,487.0
21.167,204.0,193.0,488.0
21.208,204.0,188.0,489.0
21.247,205.0,183.0,490.0
21.288,205.0,179.0,491.0
21.328,205.0,176.0,492.0
21.364,205.0,175.0,493.0
21.406,205.0,175.0,494.0
21.447,204.0,176.0,495.0
21.486,204.0,176.0,496.0
21.527,204.0,176.0,497.0
21.566,204.0,176.0,498.0
21.608,204.0,176.0,499.0
21.645,204.0,177.0,500.0
21.684,204.0,177.0,501.0
21.725,205.0,177.0,502.0
21.764,206.0,177.0,503.0
21.808,206.0,175.0,504.0
21.848,207.0,171.0,505.0
21.889,208.0,165.0,506.0
21.927,208.0,156.0,507.0
21.967,208.0,149.0,508.0
22.008,208.0,141.0,509.0
22.048,208.0,134.0,510.0
22.087,208.0,127.0,511.0
22.127,208.0,122.0,512.0
22.167,207.0,116.0,513.0
22.207,204.0,110.0,514.0
